index,word
",",34
.,33
I,20
"

",18
the,18
a,15
to,15
my,13
”,12
and,12
"""",12
“,12
he,9
is,9
He,8
said,8
you,8
of,8
in,7
with,7
his,7
shelter,7
but,7
foster,6
was,6
on,6
Bruno,6
at,6
also,5
be,5
has,5
like,5
water,5
’s,5
him,4
for,4
family,4
do,4
cat,4
me,4
if,4
she,4
home,4
so,4
who,4
while,4
pets,3
-,3
can,3
that,3
when,3
weight,3
food,3
been,3
more,3
put,3
much,3
or,3
around,2
about,2
have,2
an,2
they,2
The,2
n’t,2
not,2
usually,2
would,2
by,2
day,2
want,2
up,2
know,2
sure,2
playing,2
only,2
adoption,2
this,2
old,2
down,2
This,2
never,2
will,2
room,2
parents,2
legs,2
going,2
pet,2
still,2
wrote,2
am,2
it,2
well,2
prefer,2
did,2
because,2
standing,2
little,2
getting,2
since,2
are,2
hind,2
Ellison,2
eats,2
drink,2
If,1
enough,1
Way,1
trim,1
care,1
sleep,1
very,1
EXTRA,1
few,1
continue,1
Not,1
fresh,1
gains,1
's,1
took,1
least,1
spine,1
mom,1
meaning,1
particular,1
losses,1
tummy,1
drinks,1
former,1
making,1
learned,1
lay,1
top,1
Facebook,1
simple,1
"
",1
completely,1
eat,1
different,1
wand,1
tempting,1
News,1
No,1
though,1
meow,1
shower,1
out,1
scratchers,1
bowls,1
next,1
maybe,1
understood,1
BuzzFeed,1
:,1
Morton,1
eating,1
currently,1
hand,1
lose,1
Erin,1
Yes,1
doubt,1
affection,1
give,1
feather,1
),1
tricks,1
help,1
multiple,1
bite,1
great,1
diet,1
Adoption,1
some,1
staying,1
bed,1
had,1
toy,1
boy,1
floor,1
may,1
loss,1
Illinois,1
awesome,1
touch,1
When,1
laying,1
furry,1
needed,1
Rescue,1
Video,1
lot,1
Center,1
perhaps,1
their,1
really,1
lap,1
25-pound,1
toys,1
?,1
hydrated,1
end,1
loosing,1
petted,1
right,1
normal,1
hobbies,1
works,1
thriving,1
strange,1
now,1
too,1
walking,1
what,1
stare,1
teach,1
adopters,1
told,1
head,1
!,1
extra,1
realize,1
happens,1
meowing,1
Potential,1
how,1
kids,1
purring,1
bowl,1
lying,1
kitchen,1
boss,1
occasionally,1
man,1
just,1
polydactyl,1
active,1
starting,1
rather,1
larger,1
other,1
big,1
pretend,1
Wright,1
once,1
live,1
Besides,1
(,1
shows,1
become,1
doing,1
sides,1
They,1
face,1
Grove,1
Soon,1
journey,1
toes,1
weekend,1
habit,1
no,1
young,1
loved,1
loves,1
n't,1
stop,1
meet,1
7-year,1
meshing,1
11,1
most,1
It,1
time,1
house,1
apparently,1
love,1
April,1
found,1
swat,1
from,1
importance,1
given,1
where,1
neck,1
far,1
spent,1
likes,1
scratch,1
