word,word
"
",1
"

",18
!,1
"""",12
's,1
(,1
),1
",",34
-,3
.,33
11,1
25-pound,1
7-year,1
:,1
?,1
Adoption,1
April,1
Besides,1
Bruno,6
BuzzFeed,1
Center,1
EXTRA,1
Ellison,2
Erin,1
Facebook,1
Grove,1
He,8
I,20
If,1
Illinois,1
It,1
Morton,1
News,1
No,1
Not,1
Potential,1
Rescue,1
Soon,1
The,2
They,1
This,2
Video,1
Way,1
When,1
Wright,1
Yes,1
a,15
about,2
active,1
adopters,1
adoption,2
affection,1
also,5
am,2
an,2
and,12
apparently,1
are,2
around,2
at,6
awesome,1
be,5
because,2
become,1
bed,1
been,3
big,1
bite,1
boss,1
bowl,1
bowls,1
boy,1
but,7
by,2
can,3
care,1
cat,4
completely,1
continue,1
currently,1
day,2
did,2
diet,1
different,1
do,4
doing,1
doubt,1
down,2
drink,2
drinks,1
eat,1
eating,1
eats,2
end,1
enough,1
extra,1
face,1
family,4
far,1
feather,1
few,1
floor,1
food,3
for,4
former,1
foster,6
found,1
fresh,1
from,1
furry,1
gains,1
getting,2
give,1
given,1
going,2
great,1
habit,1
had,1
hand,1
happens,1
has,5
have,2
he,9
head,1
help,1
him,4
hind,2
his,7
hobbies,1
home,4
house,1
how,1
hydrated,1
if,4
importance,1
in,7
is,9
it,2
journey,1
just,1
kids,1
kitchen,1
know,2
lap,1
larger,1
lay,1
laying,1
learned,1
least,1
legs,2
like,5
likes,1
little,2
live,1
loosing,1
lose,1
loss,1
losses,1
lot,1
love,1
loved,1
loves,1
lying,1
making,1
man,1
may,1
maybe,1
me,4
meaning,1
meet,1
meow,1
meowing,1
meshing,1
mom,1
more,3
most,1
much,3
multiple,1
my,13
n't,1
neck,1
needed,1
never,2
next,1
no,1
normal,1
not,2
now,1
n’t,2
occasionally,1
of,8
old,2
on,6
once,1
only,2
or,3
other,1
out,1
parents,2
particular,1
perhaps,1
pet,2
pets,3
petted,1
playing,2
polydactyl,1
prefer,2
pretend,1
purring,1
put,3
rather,1
realize,1
really,1
right,1
room,2
said,8
scratch,1
scratchers,1
she,4
shelter,7
shower,1
shows,1
sides,1
simple,1
since,2
sleep,1
so,4
some,1
spent,1
spine,1
standing,2
stare,1
starting,1
staying,1
still,2
stop,1
strange,1
sure,2
swat,1
teach,1
tempting,1
that,3
the,18
their,1
they,2
this,2
though,1
thriving,1
time,1
to,15
toes,1
told,1
too,1
took,1
top,1
touch,1
toy,1
toys,1
tricks,1
trim,1
tummy,1
understood,1
up,2
usually,2
very,1
walking,1
wand,1
want,2
was,6
water,5
weekend,1
weight,3
well,2
what,1
when,3
where,1
while,4
who,4
will,2
with,7
works,1
would,2
wrote,2
you,8
young,1
’s,5
“,12
”,12
